label,content
Typhoon,"Here’s an astonishing statistic: Typhoon Wipha dumped 33 inches (850 mm) of rain in 24 hours on Oshima Island, 75 miles south of Tokyo.
It is the greatest rainstorm to occur on Oshima, populated by 8,200 people, since records began in 1991 reports the AP. It also twice the entire average rainfall for the month of October, notes the Wall Street Journal.
Incredibly, 17 inches (426 mm) fell in 4 hours and nearly 5 inches in one hour.
Those are unfathomable rainfall rates and, thus, it is no surprise they led to destructive mudslides and fatalities.
At least 17 people are dead from the typhoon and 45 to 50 missing according to wire reports. 16 of the 17 casualties occurred on Oshima.
283 homes were damaged or destroyed on Oshima, the AP says.
“The storm sent large volumes of earth down mountainsides and caused rivers to burst their banks,” reports the BBC. “Television footage showed the remains of wooden homes buried in mud and covered in debris.”"
Typhoon,"Edouard _ Atlantic Ocean July 07, 2020 _ Edouard Now Post-Tropical in NASA-NOAA Satellite Imagery When NASA-NOAA’s Suomi NPP satellite passed over the western North Atlantic Ocean on July 6, it provided forecasters with a visible image of Edouard after it transitioned into a post-tropical cyclone. The National Hurricane Center (NHC) defines a post-tropical cyclone as a former tropical cyclone. This generic term describes a cyclone that no longer possesses sufficient tropical characteristics to be considered a tropical cyclone. Post-tropical cyclones can continue carrying heavy rains and high winds. Two classes of post-tropical cyclones include extratropical and remnant lows. The Visible Infrared Imaging Radiometer Suite (VIIRS) instrument aboard Suomi NPP provided a visible image that showed Edouard’s center of circulation has merged with a frontal boundary. Therefore, the system was classified as extratropical."
wildfires,"An evacuation warning has been issued for Mokelumne Hill, Clinton Bar Subdivision and surrounding areas, including east of Ponderosa Way, south of Tabeau Road and west of Roaring Camp Road.
Some of the residents forced to flee camped out in trailers and RVs on a supermarket parking lot in Jackson.
Jeanie Link showed the framed black-and-white photographs off her walls, after a sheriff's deputy knocked on her door at 2:30 a.m.
""We just ran through the house grabbing things,"" Link said.
All schools in the Amador County Unified School District will be closed Friday and all home high school athletic events are also canceled, according to district officials.
Due to shifting winds and the ongoing power outage, Rail Road Flat, Mokelumne Hill and West Point elementary schools will be closed Friday, Calaveras Unified School District Superintendent Mark Campbell said in a statement. Bus routes through those areas will not run, impacting students at Toyon Middle and Calaveras High schools.
Both school districts anticipate schools will be back open Monday.
Classes were canceled Thursday for students at Mokelumne Hill, West Point and Rail Road Flat elementary schools.
Road closures remain in effect for highways 26 and 49 at Mokelumne Hill east to Ridge Road, Highway 26 and Robinson Ranch, Highway 26 and Jesus Maria, Clinton Road at Butte Mountain Road, Butte Mountain Road cutoff at Clinton Road, Highway 49 at Electra, Ponderosa Road at Tabeau Road and access to Lake Tabeau is closed.
About 11,300 PG&E customers remain without power in the Jackson, Pine Grove and Pioneer areas after several facilities and power lines were damaged by the fast-moving blaze. Some customers may remain without power until Saturday. 
Three evacuation centers have been set up at the Jackson Rancheria Hotel in conjunction with the Red Cross, the San Andreas Town Hall and the Calaveras County Fairgrounds in Angels Camp.
The cause of the fire is under investigation."
Typhoon,"Short-lived Tropical Storm Bertha offers lessons for Florida As quickly as Bertha raised eyebrows Wednesday it’s already beginning to fade from memory, but the lesson it provides certainly doesn’t. What started as a tropical wave Sunday over Florida with little hope of development, Bertha snapped into a tropical storm just two days later and brought flash flood warnings throughout South Carolina. Bertha didn’t amount to much with its strongest gusts just under 60 mph and bringing about 5 inches of rain to portions of the Charleston area, according to the National Weather Service. Still, the NASCAR-like development of Bertha is a problem for Floridians and other state residents near the tropics as quick rapid maturity is a phenomenon that poses a threat to home owners who let their guard down. Luckily that was not the case for South Carolina residents and its emergency management directors."
earthquake,"PHIVOLCS: No tsunami threat in Philippines due to Antarctica earthquake The Philippine Institute of Volcanology and Seismology on Sunday said there is no threat of tsunami to the country after an earthquake struck Antarctica. advertisement “A major earthquake with a preliminary magnitude of 7.3 occurred in South Shetland Islands on 24 January 2021 at 07:37 AM (Philippine Standard Time) located at 62.0 oS, 55.3 oW with depth of 10 km,” PHIVOLCS said. “No destructive tsunami threat exists based on available data,” PHIVOLCS said in its advisory. The magnitude of the said earthquake however was placed at 7.0 by Chile’s National Emergency Office."
drought,"evere to extreme drought is expected to hit countries in the lower Mekong basin from now until January 2020, warns the Mekong River Commission. Thailand and Cambodia would be hardest hit compared to Lao PDR and Viet Nam.    
Preliminary analysis of MRC’s data has shown that the draught is caused by insufficient rainfall during the wet season with a delayed arrival and earlier departure of the monsoon rain and an El Nino event that has created an abnormally high temperature and high evapotranspiration. 
During a normal year, the monsoon rain usually starts in late May and ends in October. But this year, it began almost two weeks late and departed about three weeks earlier. 
“This year’s prolonged dry weather condition can possibly adversely impact agricultural and crop production. The issue of water shortages for consumption could also come into play as the drought persists,” said Dr. Lam Hung Son, the MRC Secretariat’s Head of Regional Flood and Drought Management Center, who led the analysis.  
Using a three-month timeframe, the analysis looked at both the probability and degree of drought and rainfall occurrences compared with historical data called the standardized precipitation index (SPI), and the degree of dryness of the top soil layer known as the combined drought index (CDI) in the four MRC Member States: Lao PDR, Cambodia, Thailand and VietNam."
wildfires,"The lightning-sparked blaze began on Saturday and continues to threaten hundreds of homes.
Up to 2,000 firefighters are battling the flames.
The blaze is one of some three dozen large fires burning in the drought-hit western US states, authorities say.
Lightning storms hitting parched grass, brush and timber have brought an unusually early start to the fire season.
On Tuesday, Gov Jerry Brown announced that National Guard troops would be helping with firefighting efforts, already bolstered by federal funds from the Federal Emergency Management Agency.
Firefighters assessing the destruction from the Manton blaze, known as the Ponderosa Fire, have concluded that some 50 buildings - many residential - had been destroyed.
""There is a good chance that number [of destroyed buildings] will go up, because they haven't been able to get into the whole area affected by the fire,"" Mike Witesman, a spokesman for the California Department of Forestry and Fire Protection, said.
The firefighters are now focused on tackling the blaze - now said to be 40% contained - as it threatens some 3,500 homes in the small communities of Shingleton, Manton and Viola."
earthquake,"Magnitude 7.0 Earthquake Hits Turkey and Greece The region has experienced 29 earthquakes with a magnitude of 6.0 or higher in the last 100 years On October 30, a 7.0 magnitude earthquake struck the eastern Aegean Sea between Turkey and Greece. The tremblor shook Izmir, Turkey, where it severely damaged 20 buildings. As of Monday, the death toll reached 91, including two teenagers in Greece, reports Al Jazeera. Greece and western Turkey sit above a complicated convergence of chunks of Earth’s crust called tectonic plates. Four plates meet under the Aegean Sea, putting immense pressure on the plate directly below Turkey, Maya Wei-Haas reports for National Geographic. That makes the region one of the most geologically active in the world. It’s seen at least 29 earthquakes with magnitudes above 6.0 in the last century, Jariel Arvin reports for Vox. Last week’s earthquake has caused more than 900 aftershocks, 42 of which had a magnitude above 4.0, Isil Jariyuce and Maija Ehlinger report for CNN."
earthquake,"A strong earthquake with 6.3 magnitude struck the southern province of Davao del Sur in the Philippines on Sunday, with damage and aftershocks expected, the country's seismology agency said.
The earthquake was initially recorded at magnitude 6 at a depth of 10 km (6.2 miles), the GFZ German Research Center for Geosciences earlier said.
The Philippines Institute of Volcanology and Seismology (Philvolcs) said it recorded the depth at 15 km, adding that the earthquake was tectonic.
The Southeast Asian country is on the geologically active Pacific Ring of Fire and experiences frequent earthquakes, particularly in the south."
earthquake,"Earthquake Today: Massive magnitude 7.0 quake shakes Philippines; US Geological Survey says no tsunami warning require Earthquake Today: A strong earthquake of magnitude 7.0 shook southern parts of the Philippines on Thursday night. However, the concerned authorities there said that the jolt ws too deep to cause any damage to the public property or the routine life in the region. They also said that no tsunami warning has been issued. According to the US Geological Survey (USGS), the earthquake in Philippines was of 7.0 magnitude at the Richter Scale and was located 95.8 kilometers (60 miles) below the sea and about 210 kilometers (130 miles) southeast of Pondaguitan in Davao Occidental province. the USGS went on to add that any kind of damage to the public or casualty was highly unlikely. The US tsunami warning system said that there was no tsunami threat from the recent earthquake in the Philippines. As per the Philippine institute of volcanology and seismology, the earthquake was felt in the nearby region and province of Pondaguitan. The southern Davao region has been battered by powerful earthquakes set off by local fault lines in recent years."
earthquake,"Reykjavik (CNN)Even for a volcanic island accustomed to the occasional tremor, this has been an unusual week for Iceland. According to the Icelandic Meteorological Office, around 17,000 earthquakes have hit the southwestern region of Reykjanes over the past week.
The largest quake, a magnitude 5.6 on the Richter scale, occurred on the morning of February 24. It was the loudest in a swarm that continues to rattle residents in the nearby capital city of Reykjavík and the municipalities around it, where two-thirds of the Icelandic population lives. Two larger earthquakes -- over magnitude 5.0 -- also hit on February 27 and March 1.
The quakes have caused little damage so far, though Iceland's Road and Coastal Administration has reported small cracks in roads in the area and rockfalls on steep slopes near the epicenter of the swarm.
""I have experienced earthquakes before but never so many in a row,"" Reykjavik resident Aueur Alfa ólafsdóttir told CNN. ""It is very unusual to feel the Earth shake 24 hours a day for a whole week. It makes you feel very small and powerless against nature."""
earthquake,"Magnitude 4.7 earthquake strikes Armenia. YEREVAN (Reuters) - An earthquake with a magnitude of 4.7 struck eight kilometres (five miles) south-east of Armenia’s capital Yerevan, the emergency ministry said on Saturday. One person was injured, Prime Minister Nikol Pashinyan said on his Facebook page. There were no reports of large devastation caused by the earthquake registered at 1129 GMT. Armenia is vulnerable to destructive earthquakes. In 1988, a massive earthquake flattened towns and villages across swathes of then Soviet Armenia, killing 25,000 people and leaving tens of thousands homeless."
wildfires,"Thousands of firefighters are battling wildfires in villages and resorts on Turkey's Mediterranean and Aegean coasts.
Four people have died and dozens have been taken to hospital. An investigation has been launched to determine if some of the fires were a result of arson.
During a visit to Manavgat, Turkey's Agriculture Minister Bekir Pakdemirli, said bringing the fires under control might take time."
Typhoon,"Associated Press quotes officials in the Philippines saying at least 13 people are dead in the wake of a powerful typhoon that swept through the northern part of the country early Saturday morning.
Officials say Typhoon Nari slammed into the east coast around midnight Friday, toppling trees and electric pylons, and dumping heavy rain across the rice-growing central plains of Luzon. Local authorities say the storm cut electricity to more than 2 million people.
Thousands of people were evacuated from coastal villages before the typhoon struck.
Nari forced U.S. Secretary of State John Kerry to cancel a trip to Manilla scheduled for Friday and Saturday. Kerry told reporters Thursday the he will try to reschedule the trip in the coming weeks."
earthquake,"South-east Victoria has been rocked by more than 40 aftershocks after a magnitude-5.4 earthquake hit near Moe in Gippsland on Tuesday night.
The tremor struck 16 kilometres west of Moe, but was felt in the centre of Melbourne and in suburbs across the city's west and south-east.
Initially measured at magnitude-5.3, it was also felt as far north as Shepparton and even Albury on the border with New South Wales.
The SES said it received dozens of calls for help for cracked walls and ceilings and a collapsed garage and chimney.
Residents and business owners are being urged to check their properties for damage before returning inside.
But the SES says there have been no reports of major damage.
Residents reported hearing a roaring noise as the quake hit just before 9:00pm at a depth of about 10km.
An SES spokesman told ABC News Breakfast there were 850 calls to emergency services in the first hour after the quake.
""The damage we've seen has largely been minor cracks in walls and a garage that has had some damage. We've also seen some shops that have had some stock come off the shelves,"" he said.
He said some homes did lose power after the quake but there have been no significant reports of gas leaks."
Typhoon,"Tropical Storm Cristobal develops in the Gulf of Mexico, may approach the U.S. by weekend We may be only on the second day of the official 2020 hurricane season, but already we’re tracking our third named tropical system in the Atlantic. Tropical Storm Cristobal was spinning in the Bay of Campeche at midday Tuesday. By the end of the week, the system is expected to slowly intensify in the Gulf of Mexico, with some data suggesting the storm could ultimately approach or even make a U.S. landfall. Tropical storm warnings are already up in Mexico from Campeche to Puerto de Veracruz as the system continues to organize, while there is concern closer to home for possible impacts by the weekend, depending on the storm’s track and intensity. The system was declared a “tropical depression” on Monday evening and upgraded to a tropical storm at 12:30 p.m. Eastern. This is the earliest third-named storm to form in the Atlantic basin, with the previous record being Tropical Storm Colin, which formed on June 5, 2016. The jury is out as to how exactly the storm will evolve. In fact, there’s even an outside chance that two named storms brew in the Gulf."
other,"Japan volcano: Mt Ontake rescue teams find 31 bodies The bodies of 31 hikers have been found near the top of Japan's Mount Ontake a day after a sudden volcanic eruption. The hikers were not breathing and their hearts had stopped. The search for a total of 45 missing climbers has now been called off for the night. The volcano, about 200km (125 miles) west of Tokyo, erupted without warning on Saturday, spewing ash and rocks. About 250 people were trapped on the slopes of the popular beauty spot, but most got down safely. Japan is one of the world's most seismically active nations - but there have been no fatalities from volcanic eruptions since 1991, when 43 people died at Mount Unzen in the south-west."
drought,"The epic drought that began in the state of California in December 2011 and only officially ended in March of this year will have many lasting impacts—but one of the most severe is what it did to the trees in the central and southern Sierra Nevada mountains. A new study in the journal Nature Geosciences reports that by the drought’s peak, a combination of factors—including lack of rain, extreme heat and overcrowding stressed out the forest—lead to mass die-offs. In total, almost 150 million trees have died in California since the drought began.
Nathanael Johnson at Grist reports that to understand the tree-mageddon, researchers analyzed various forest communities in the mountains, including areas where 80 percent of the trees died and other where as few as two percent of the trees were lost."
earthquake,"The most surprising thing about the magnitude-8.9 earthquake that hit Japan today is that it was a surprise. Despite what may be the world's most intensive effort to map faults and assess risks by a notoriously earthquake-prone and earthquake-conscious nation, such a strong quake was not anticipated for the region, says University of Tokyo geophysicist Robert Geller.
The earthquake occurred 130 kilometers east of Sendai and 373 kilometers northeast of Tokyo, along or very near the boundary between two tectonic plates, where the Pacific plate is being drawn under the Japanese islands. Movement along plate boundaries is known to be capable of producing major earthquakes. And Japan's latest national seismic risk map gave a 99% chance of a magnitude-7.5 or greater quake occurring in that area in the next 30 years, Geller says.
Although today's quake technically satisfies that prediction, the logarithmic scale used for measuring the power of earthquakes means that a magnitude-8.9 earthquake releases well over 100 times more energy than does a magnitude-7.5 quake. ""I don't think those hazard assessments are meaningful,"" Geller says."
other,"Russia's troubled Nauka laboratory has docked with the International Space Station (ISS) after an eight-day flight.
The 13m-long, 20-tonne module was driven into the rear of the orbiting platform, linking up with the other major Russian segments on the ISS.
Nauka should have launched in 2007, but the vessel suffered repeated slips in schedule, in part because of budget difficulties but also because engineers encountered a raft of technical problems during development.
Even after it launched from the Baikonur Cosmodrome in Kazakhstan a week ago, it experienced propulsion issues that required workarounds from controllers in Moscow.
In the end, however, it made its docking with the station on the planned date."
wildfires,"The object in the sky is an aircraft flying around the fire in a circle. It is the Air Attack plane, or the spotter/lead plane that flies over the fire to watch its progress, map it, and relay the information to firefighters on the ground. At that point in the evening they must have had the autopilot on or set the aircraft so it was flying in perfect circles. The blinking navigation lights created the pattern that you see in the circle.
Intense wildfires have been surging across southern and northern California with little reprieve for firefighters or residents for several weeks. The intensity of the flames has increased because of the sudden heat wave sweeping into peak wildfire season. Last week fires burned over 250 acres across the Sierra Nevada foothills, and over 70,000 acres have been burned east of Sacramento by what’s being called the King fire, forcing thousands to flee their homes.
In Sight spoke with photographer Stuart Palley who grew up in southern California and has spent the past several years following and photographing these chaotic wildfires in beautiful, majestic ways. Palley immersed himself in extensive training both physically and in the classroom before venturing out with his camera equipment and personal fire gear. Though he’s made himself known in the firefighting community, Palley generally ventures out and photographs wildfires on his own. “I am almost always in sight of firefighters or with them if they pull to a safety zone, but it’s still a calculated risk and there’s some danger at each fire, but it pales in comparison to the risks and dangers those on the line for days at a time take,” he said."
Typhoon,"The first hurricane to hit the US this season lashed Texas with high winds and heavy rain, despite being downgraded to a tropical storm.
Boats were destroyed, power lines brought down and streets flooded as storm Hanna swept through the south of the Lone Star state as it continues to battle a different crisis _ the increasing number of coronavirus cases.
The storm brought sustained winds of 60mph and dropped more than 12 inches of rain, according to the National Hurricane Centre. It made landfall on Padre Island, south of Corpus Christi.
At least three 18-wheeler trucks and several other vehicles were overturned, shutting down a two-mile stretch of US Route 77 in Sarita, close to the Mexican border.
More than 283,000 homes and businesses were without power at one point.
Coastal states have been working to adjust their emergency plans to take account of the coronavirus.
Texas governor Greg Abbott said on Saturday that some people in need of shelter would be given hotel rooms to help maintain social distancing from others.
As the storm swept in he said that the Federal Emergency Management Agency had approved an emergency declaration that will provide federal aid."
other,"Death toll from Congo volcano eruption rises to at least 32 KINSHASA, Congo (AP) — The volcanic eruption in eastern Congo two days ago has killed at least 32 people, officials said Monday as residents searched for missing loved ones amid destroyed homes on the outskirts of the eastern city of Goma where aftershocks were detected. With little warning Mount Nyiragongo turned the dark sky fiery red Saturday night and then spewed torrents of lava into villages destroying more than 500 homes, officials and survivors said. The toll Monday increased from 22 to 32, and was likely to continue rising, saidccording to Joseph Makundi, head of Civil Protection for the North Kivu province. More than a dozen people died in car accidents while trying to escape, he said. Others were killed when lava hit their homes."
earthquake,"Tsunami warning lifted after magnitude 6.9 earthquake hits Japan Japan's meteorological agency lifted a tsunami advisory around an hour after a 6.9-magnitude earthquake struck off the country's northeastern coast on Saturday, causing no immediate damage or injuries. The strong quake, which was originally estimated as 7.2 magnitude, hit at 6.09pm in Pacific waters off the Miyagi region with a depth of about 60 kilometres, the JMA said, issuing an advisory for tsunami waves of around one metre. Thousands of households received evacuation warnings over the tsunami alert, which was lifted at around 7.30pm , prompting municipalities to also end the evacuation measures."
wildfires,"In the wake of the enormous fires that have razed huge swathes of drought-stricken Australia, scientists fear that when rains eventually fall, they will wash charred debris into rivers, dams, and the ocean, killing wildlife and even tainting the drinking supplies of major cities, such as Sydney.
For many weeks, ash, soot, and blackened gum tree leaves have collected along the shorelines of Sydney’s beaches, clogging the waves and lapping in the tide. Originating in fires blazing in forested areas to the west, the debris has been carried on the breeze along with the pungent bushfire smoke that blanketed Australia’s largest city for much of December.
But what has carried on the wind is just a taste of the huge quantities of debris that are likely to wash into rivers once there are heavy downpours. As of press time, more than 26 million acres—an area bigger than Portugal—have now burned, mostly in the continent’s southeast. That includes areas of land known as catchments—also called watersheds—where rainfall begins its earthly journey into specific rivers, lakes, and dams.
It is an ecological disaster unprecedented in Australia’s history, and that spells trouble for drinking water supplies, coastal ecosystems, and the freshwater rivers that support iconic Australian wildlife, such as the platypus. (Australia's flying foxes are already dying en mass due to the extreme heat.)
“Disturbance on this scale is almost certainly going to impact biodiversity. I’m remarkably worried about the effects on freshwater ecosystems,” says Ross Thompson, a freshwater ecologist at the University of Canberra."
Typhoon,"A deadly tropical cyclone has destroyed as much as 90 per cent of the Mozambique city of Beira, raising fears for more than 500,000 people.
Cyclone Idai brought devastation to the major coastal city of half a million people on Thursday night with winds of up to 106 mph, before moving to Zimbabwe and Malawi, Red Cross said.
The damage was “massive and horrifying”, the International Federation of Red Cross and Red Crescent Society (IFRC) said after surveying the worst-hit areas via helicopter.
Images on social media and local television showed billboards and rooftops blown off, trees snapped and electricity cables left fallen in the city’s streets.
President Filipe Nyusi said he believed the storm could be the deadliest to hit the southeast African country, adding that it was “a real disaster of great proportions”.
Appearing on state radio, he described seeing “bodies floating” in the water after two rivers broke their banks and “wiped out entire villages”. He said he expected the death toll, which currently stands at 84, to rise significantly to more than 1,000 deaths.
The United Nations’ humanitarian office said on Friday that electricity and communications in the city had been cut off by the cyclone.
It also warned of devastation outside Beira, in particular of livestock and crops, adding that the damage took place just before the main harvest season, which could exacerbate food insecurity in the region."
earthquake,"Indonesia earthquake: Dozens dead as search for survivors continues A powerful earthquake has rocked Indonesia's Sulawesi island, killing at least 42 people, with more feared dead as rescuers search for survivors. The 6.2-magnitude earthquake struck on Friday morning, just hours after an earlier, smaller tremor. Hundreds of people were injured and thousands displaced by the quake. Indonesia has a history of devastating earthquakes and tsunamis, with more than 2,000 killed in a 2018 Sulawesi quake. Eight people died when the five-storey Mitra Manakarra Hospital in Mamuju partially collapsed on Friday, officials said. About 60 people were safely evacuated from the hospital. ""It happened so quickly, around 10 seconds,"" Syamsu Ridwan, a local police spokesman, told the BBC. He said the power in the hospital cut out during the earthquake. Officials fear the death toll will increase as rescue efforts continue. Rescuers were still searching for survivors late on Friday, but they have been hampered by power cuts and poor mobile phone service. Indonesian President Joko Widodo offered condolences to the victims, urging people to stay calm and for the authorities to step up search efforts."
earthquake,"A strong earthquake has shaken central Chile, disrupting power and communications but causing no casualties or serious damage.
The quake had a magnitude of 7.1 and its epicentre was 70km (45 miles) northwest of Temuco with a depth of 25km, the US Geological Service said.
Hundreds of people in coastal areas fled to higher ground for fear of a tsunami, but no alert was issued.
An 8.8-magnitude quake in the same area last February caused huge destruction.
Chile's national emergency agency (Onemi) said there was no danger of a tsunami.
""Up until now we don't have any reports of injuries, there's no damage, just overloaded telephone lines and some partial power cuts,"" said Onemi's director, Vicente Nunez.
""We've told people to go back to their houses because there's no tsunami alert.""
The quake hit at 1720 (2020 GMT) and was centred about 600 kilometres (370 miles) southwest of the capital, Santiago.
The University of Chile's Institute of Seismology put the magnitude at 6.9.
Chile is still rebuilding after February's massive quake, which smashed infrastructure and triggered a tsunami that devastated several coastal towns, killing more than 400 people."
